,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,3220.8001928819976
Total Return [%],-67.79199807118003
Benchmark Return [%],-74.06417097527135
Max Gross Exposure [%],100.0
Total Fees Paid,44.4077266666173
Max Drawdown [%],74.02804605464871
Max Drawdown Duration,481 days 00:00:00
Total Trades,6
Total Closed Trades,6
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],33.33333333333333
Best Trade [%],14.967335634844432
Worst Trade [%],-66.0767644883132
Avg Winning Trade [%],11.95269368777971
Avg Losing Trade [%],-23.024663210361155
Avg Winning Trade Duration,49 days 00:00:00
Avg Losing Trade Duration,20 days 06:00:00
Profit Factor,0.09069185665061073
Expectancy,-1129.866634519667
Sharpe Ratio,-0.6311697348133216
Calmar Ratio,-0.7561804296911496
Omega Ratio,0.8052377292227308
Sortino Ratio,-0.7025823108569904
