,ASTOR.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,22080.381042993733
Total Return [%],120.80381042993733
Benchmark Return [%],206.3164385329043
Max Gross Exposure [%],100.0
Total Fees Paid,67.59879670636039
Max Drawdown [%],26.960110041265477
Max Drawdown Duration,117 days 00:00:00
Total Trades,3
Total Closed Trades,3
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],33.33333333333333
Best Trade [%],155.56899653607584
Worst Trade [%],-8.92709739370688
Avg Winning Trade [%],155.56899653607584
Avg Losing Trade [%],-7.009026716798752
Avg Winning Trade Duration,148 days 00:00:00
Avg Losing Trade Duration,26 days 00:00:00
Profit Factor,9.915092994509033
Expectancy,4026.793680997911
Sharpe Ratio,1.4919624215285145
Calmar Ratio,2.8811191206026154
Omega Ratio,1.3865135567708464
Sortino Ratio,2.41999550551117
