,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,6657.628055918382
Total Return [%],-33.42371944081617
Benchmark Return [%],-10.977402958828886
Max Gross Exposure [%],100.0
Total Fees Paid,156.07386664357534
Max Drawdown [%],36.910084851467126
Max Drawdown Duration,401 days 00:00:00
Total Trades,9
Total Closed Trades,9
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],33.33333333333333
Best Trade [%],3.855286825865171
Worst Trade [%],-21.279443466009152
Avg Winning Trade [%],2.8287970106812232
Avg Losing Trade [%],-7.583313053995316
Avg Winning Trade Duration,6 days 00:00:00
Avg Losing Trade Duration,15 days 20:00:00
Profit Factor,0.1819307372031833
Expectancy,-371.3746604535132
Sharpe Ratio,-1.2947329264736274
Calmar Ratio,-0.6913764384596461
Omega Ratio,0.6684367514413458
Sortino Ratio,-1.7001991882272012
