,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,8980.026210072689
Total Return [%],-10.199737899273114
Benchmark Return [%],58.2712343544469
Max Gross Exposure [%],100.0
Total Fees Paid,145.63136025179946
Max Drawdown [%],36.57002190636589
Max Drawdown Duration,345 days 00:00:00
Total Trades,9
Total Closed Trades,8
Total Open Trades,1
Open Trade PnL,-26.95803868263647
Win Rate [%],37.5
Best Trade [%],16.336248004325512
Worst Trade [%],-10.843636610455563
Avg Winning Trade [%],7.53174405148657
Avg Losing Trade [%],-6.105130958084596
Avg Winning Trade Duration,60 days 08:00:00
Avg Losing Trade Duration,9 days 04:47:59.999999
Profit Factor,0.6348848020537803
Expectancy,-124.12696890558414
Sharpe Ratio,-0.03367796252316021
Calmar Ratio,-0.20496014105355198
Omega Ratio,0.9929978073599964
Sortino Ratio,-0.047450316517186605
