,Close
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,16320.848033284055
Total Return [%],63.20848033284056
Benchmark Return [%],6.543960835151941
Max Gross Exposure [%],100.0
Total Fees Paid,333.9927267912337
Max Drawdown [%],18.879998779296884
Max Drawdown Duration,62 days 00:00:00
Total Trades,12
Total Closed Trades,11
Total Open Trades,1
Open Trade PnL,-2751.1198167901694
Win Rate [%],90.9090909090909
Best Trade [%],20.243257168043712
Worst Trade [%],-6.57190524917302
Avg Winning Trade [%],7.531067665645651
Avg Losing Trade [%],-6.57190524917302
Avg Winning Trade Duration,16 days 09:35:59.999999
Avg Losing Trade Duration,27 days 00:00:00
Profit Factor,8.619181226261027
Expectancy,824.724350006748
Sharpe Ratio,1.343295215512299
Calmar Ratio,2.2554883653829654
Omega Ratio,1.3304787492720629
Sortino Ratio,2.2672213590359154
