,Close
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,7646.617002090709
Total Return [%],-23.533829979092907
Benchmark Return [%],-44.701492101797314
Max Gross Exposure [%],100.0
Total Fees Paid,126.15999357326635
Max Drawdown [%],34.48936485004242
Max Drawdown Duration,479 days 00:00:00
Total Trades,8
Total Closed Trades,8
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],37.5
Best Trade [%],6.873630233120305
Worst Trade [%],-12.598506044093885
Avg Winning Trade [%],5.546363582750897
Avg Losing Trade [%],-8.184031633185127
Avg Winning Trade Duration,7 days 08:00:00
Avg Losing Trade Duration,27 days 14:24:00
Profit Factor,0.3422111269114165
Expectancy,-294.1728747386614
Sharpe Ratio,-0.4912277569026239
Calmar Ratio,-0.5120589871914025
Omega Ratio,0.8856219069109753
Sortino Ratio,-0.7249911550895083
