,Close
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,8239.782376341092
Total Return [%],-17.602176236589077
Benchmark Return [%],22.22504151808966
Max Gross Exposure [%],100.0
Total Fees Paid,115.94164724544598
Max Drawdown [%],21.77224619815107
Max Drawdown Duration,466 days 00:00:00
Total Trades,7
Total Closed Trades,6
Total Open Trades,1
Open Trade PnL,-110.96274213475044
Win Rate [%],33.33333333333333
Best Trade [%],5.499831059882
Worst Trade [%],-8.518796068068125
Avg Winning Trade [%],4.948211686054603
Avg Losing Trade [%],-6.682510198670292
Avg Winning Trade Duration,4 days 00:00:00
Avg Losing Trade Duration,24 days 12:00:00
Profit Factor,0.3404493136676848
Expectancy,-274.8758135873594
Sharpe Ratio,-0.4711392710667955
Calmar Ratio,-0.6008941894279353
Omega Ratio,0.8735610379720419
Sortino Ratio,-0.6723123745910139
