,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,16327.797239585467
Total Return [%],63.27797239585466
Benchmark Return [%],58.2712343544469
Max Gross Exposure [%],100.0
Total Fees Paid,267.8095368495057
Max Drawdown [%],16.83842280502878
Max Drawdown Duration,121 days 00:00:00
Total Trades,11
Total Closed Trades,11
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],81.81818181818183
Best Trade [%],14.559860926271412
Worst Trade [%],-6.883085896094954
Avg Winning Trade [%],6.887843474391605
Avg Losing Trade [%],-5.069236561926846
Avg Winning Trade Duration,12 days 13:20:00
Avg Losing Trade Duration,16 days 12:00:00
Profit Factor,6.542833911321731
Expectancy,575.25429450777
Sharpe Ratio,1.436792432941507
Calmar Ratio,2.531566183811384
Omega Ratio,1.449827599372512
Sortino Ratio,2.320928685491677
