,ASELS.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,11973.560146134589
Total Return [%],19.735601461345887
Benchmark Return [%],480.2331263127937
Max Gross Exposure [%],100.0
Total Fees Paid,272.381173499099
Max Drawdown [%],12.865853658536583
Max Drawdown Duration,98 days 00:00:00
Total Trades,12
Total Closed Trades,12
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],58.333333333333336
Best Trade [%],9.711253905617125
Worst Trade [%],-4.581378919416548
Avg Winning Trade [%],4.249420414650922
Avg Losing Trade [%],-2.124897675248787
Avg Winning Trade Duration,6 days 00:00:00
Avg Losing Trade Duration,13 days 19:12:00
Profit Factor,2.5704381549059856
Expectancy,164.46334551121583
Sharpe Ratio,0.6242800332568891
Calmar Ratio,1.085246484795775
Omega Ratio,1.2091045627811612
Sortino Ratio,1.0286461567072278
