,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,13076.29139678135
Total Return [%],30.762913967813493
Benchmark Return [%],82.88234711635147
Max Gross Exposure [%],100.0
Total Fees Paid,278.52840729921667
Max Drawdown [%],18.675498020676827
Max Drawdown Duration,175 days 00:00:00
Total Trades,12
Total Closed Trades,12
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],58.333333333333336
Best Trade [%],12.600333590474996
Worst Trade [%],-10.217250231782817
Avg Winning Trade [%],6.617374867290258
Avg Losing Trade [%],-3.3756516274481516
Avg Winning Trade Duration,9 days 20:34:17.142857
Avg Losing Trade Duration,29 days 09:36:00
Profit Factor,2.4115441070819266
Expectancy,256.3576163984459
Sharpe Ratio,0.8000731033173563
Calmar Ratio,1.147985181711936
Omega Ratio,1.182203900082026
Sortino Ratio,1.2157767676159243
