,Close
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,8586.612179544967
Total Return [%],-14.13387820455033
Benchmark Return [%],-52.09806560128523
Max Gross Exposure [%],100.0
Total Fees Paid,122.9127468094126
Max Drawdown [%],25.774383550624087
Max Drawdown Duration,468 days 00:00:00
Total Trades,7
Total Closed Trades,7
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],42.857142857142854
Best Trade [%],3.3383001709816
Worst Trade [%],-8.252747151226673
Avg Winning Trade [%],2.2567277191550232
Avg Losing Trade [%],-5.3022427472974005
Avg Winning Trade Duration,8 days 16:00:00
Avg Losing Trade Duration,27 days 12:00:00
Profit Factor,0.28446547730452043
Expectancy,-201.9125457792902
Sharpe Ratio,-0.3484193902597472
Calmar Ratio,-0.4053791391926232
Omega Ratio,0.9118531998860668
Sortino Ratio,-0.46638348438966504
