,ALFAS.IS
Start,2024-07-31 00:00:00
End,2026-07-31 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,10323.259032635913
Total Return [%],3.232590326359132
Benchmark Return [%],-38.033998083324384
Max Gross Exposure [%],100.0
Total Fees Paid,187.80880943542138
Max Drawdown [%],43.556968842142254
Max Drawdown Duration,383 days 00:00:00
Total Trades,10
Total Closed Trades,10
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],30.0
Best Trade [%],32.13527965530347
Worst Trade [%],-9.691828654305272
Avg Winning Trade [%],17.118972011055103
Avg Losing Trade [%],-5.915914405352414
Avg Winning Trade Duration,42 days 16:00:00
Avg Losing Trade Duration,9 days 20:34:17.142857142
Profit Factor,1.0798937770255062
Expectancy,32.32590326359116
Sharpe Ratio,0.249349431829888
Calmar Ratio,0.05340360255884881
Omega Ratio,1.060329051912153
Sortino Ratio,0.3796813644620496
