,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,6870.05931904752
Total Return [%],-31.2994068095248
Benchmark Return [%],16.394563485419013
Max Gross Exposure [%],100.0
Total Fees Paid,140.53401867158664
Max Drawdown [%],41.63535901613762
Max Drawdown Duration,415 days 00:00:00
Total Trades,8
Total Closed Trades,8
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],25.0
Best Trade [%],28.69435260886916
Worst Trade [%],-15.420512177000226
Avg Winning Trade [%],15.460939801683562
Avg Losing Trade [%],-10.103916004308115
Avg Winning Trade Duration,47 days 00:00:00
Avg Losing Trade Duration,24 days 16:00:00
Profit Factor,0.4384035363083163
Expectancy,-391.24258511905964
Sharpe Ratio,-0.6111494847881281
Calmar Ratio,-0.571752653715152
Omega Ratio,0.8801269410638382
Sortino Ratio,-0.8427426739191255
