,Close
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,10803.886135557188
Total Return [%],8.03886135557188
Benchmark Return [%],65.90546945137554
Max Gross Exposure [%],100.0
Total Fees Paid,83.37662067764988
Max Drawdown [%],18.734989555395337
Max Drawdown Duration,338 days 00:00:00
Total Trades,4
Total Closed Trades,4
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],75.0
Best Trade [%],8.933940153552225
Worst Trade [%],-9.452723986279544
Avg Winning Trade [%],6.099036752913183
Avg Losing Trade [%],-9.452723986279544
Avg Winning Trade Duration,7 days 16:00:00
Avg Losing Trade Duration,29 days 00:00:00
Profit Factor,1.7815270424724914
Expectancy,200.97153388929684
Sharpe Ratio,0.4183591998592892
Calmar Ratio,0.30741240984708434
Omega Ratio,1.184986154403566
Sortino Ratio,0.6816788742162209
