,0
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,10445.28781424718
Total Return [%],4.4528781424718
Benchmark Return [%],-10.977402958828886
Max Gross Exposure [%],100.0
Total Fees Paid,134.636598755295
Max Drawdown [%],29.906846309517775
Max Drawdown Duration,256 days 00:00:00
Total Trades,7
Total Closed Trades,7
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],71.42857142857143
Best Trade [%],13.18389377456699
Worst Trade [%],-17.67237333082289
Avg Winning Trade [%],8.861085598362028
Avg Losing Trade [%],-17.22976742956293
Avg Winning Trade Duration,26 days 00:00:00
Avg Losing Trade Duration,70 days 12:00:00
Profit Factor,1.1228309221343111
Expectancy,63.61254489245425
Sharpe Ratio,0.2601455737565083
Calmar Ratio,0.10717836392400448
Omega Ratio,1.0490423659324224
Sortino Ratio,0.3730987622075144
