,TAVHL.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,8713.979653771366
Total Return [%],-12.860203462286336
Benchmark Return [%],-0.26790367881498467
Max Gross Exposure [%],100.0
Total Fees Paid,73.35095611197006
Max Drawdown [%],28.676256115028114
Max Drawdown Duration,218 days 00:00:00
Total Trades,4
Total Closed Trades,4
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],25.0
Best Trade [%],11.146543154644391
Worst Trade [%],-10.593146335168898
Avg Winning Trade [%],11.146543154644391
Avg Losing Trade [%],-7.7269954884447865
Avg Winning Trade Duration,93 days 00:00:00
Avg Losing Trade Duration,23 days 08:00:00
Profit Factor,0.42976666380129575
Expectancy,-321.50508655715845
Sharpe Ratio,-0.34117034324093265
Calmar Ratio,-0.33150408010564925
Omega Ratio,0.9224291693310273
Sortino Ratio,-0.44714179625323264
